model,forecast,lower,upper,quarter,history_end,actual,split
VAR,2.978531207,-3.226608565,9.183670979,2005Q2,2005Q1,1.701228535,test
VECM,2.978531207,-3.175536587,9.132599001,2005Q2,2005Q1,1.701228535,test
Historical mean,3.329079475,,,2005Q2,2005Q1,1.701228535,test
Random walk,0,,,2005Q2,2005Q1,1.701228535,test
ARIMA,3.085128762,-3.416173455,9.586430979,2005Q3,2005Q2,3.027015531,test
VAR,3.471517668,-2.719235949,9.662271285,2005Q3,2005Q2,3.027015531,test
VECM,3.471517668,-2.668560442,9.611595778,2005Q3,2005Q2,3.027015531,test
Historical mean,3.32028028,,,2005Q3,2005Q2,3.027015531,test
Random walk,0,,,2005Q3,2005Q2,3.027015531,test
ARIMA,3.018360646,-3.465445166,9.502166458,2005Q4,2005Q3,2.061859911,test
VAR,2.910087126,-3.263970523,9.084144776,2005Q4,2005Q3,2.061859911,test
VECM,2.910087126,-3.213705988,9.033880241,2005Q4,2005Q3,2.061859911,test
Historical mean,3.318703588,,,2005Q4,2005Q3,2.061859911,test
Random walk,0,,,2005Q4,2005Q3,2.061859911,test
ARIMA,3.011631674,-3.456289089,9.479552437,2006Q1,2005Q4,5.213130182,test
VAR,1.956561651,-4.201823131,8.114946432,2006Q1,2005Q4,5.213130182,test
VECM,1.956561651,-4.151956846,8.065080147,2006Q1,2005Q4,5.213130182,test
Historical mean,3.311982499,,,2006Q1,2005Q4,5.213130182,test
Random walk,0,,,2006Q1,2005Q4,5.213130182,test
ARIMA,3.537900541,-2.920396152,9.996197233,2006Q2,2006Q1,1.438235753,test
VAR,3.706409933,-2.453031573,9.86585144,2006Q2,2006Q1,1.438235753,test
VECM,3.706409933,-2.403424525,9.816244392,2006Q2,2006Q1,1.438235753,test
Historical mean,3.322094987,,,2006Q2,2006Q1,1.438235753,test
Random walk,0,,,2006Q2,2006Q1,1.438235753,test
ARIMA,3.225718807,-3.22236088,9.673798494,2006Q3,2006Q2,0.1065704926,test
VAR,2.583311136,-3.568089581,8.734711854,2006Q3,2006Q2,0.1065704926,test
VECM,2.583311136,-3.518811879,8.685434152,2006Q3,2006Q2,0.1065704926,test
Historical mean,3.312127478,,,2006Q3,2006Q2,0.1065704926,test
Random walk,0,,,2006Q3,2006Q2,0.1065704926,test
ARIMA,2.343172456,-4.103055634,8.789400546,2006Q4,2006Q3,2.912818024,test
VAR,2.755665024,-3.38942107,8.900751119,2006Q4,2006Q3,2.912818024,test
VECM,2.755665024,-3.340455461,8.851785509,2006Q4,2006Q3,2.912818024,test
Historical mean,3.295256125,,,2006Q4,2006Q3,2.912818024,test
Random walk,0,,,2006Q4,2006Q3,2.912818024,test
ARIMA,2.737846945,-3.692000848,9.167694738,2007Q1,2006Q4,1.199423847,test
VAR,3.509039639,-2.61963469,9.637713968,2007Q1,2006Q4,1.199423847,test
VECM,3.509039639,-2.571057905,9.589137184,2007Q1,2006Q4,1.199423847,test
Historical mean,3.293253831,,,2007Q1,2006Q4,1.199423847,test
Random walk,0,,,2007Q1,2006Q4,1.199423847,test
